TimeId,GameId,Day,Month,Year,StartTime
340,2013R1607,14,7,2013,1:10 PM
341,2013R1608,14,7,2013,3:20 PM
342,2013R1609,14,7,2013,2:40 PM
343,2013R1701,19,7,2013,7:50 PM
344,2013R1702,20,7,2013,1:45 PM
345,2013R1703,20,7,2013,2:10 PM
346,2013R1704,20,7,2013,4:40 PM
347,2013R1705,20,7,2013,7:10 PM
348,2013R1706,20,7,2013,7:40 PM
349,2013R1707,21,7,2013,1:10 PM
350,2013R1708,21,7,2013,2:50 PM
351,2013R1709,21,7,2013,2:40 PM
352,2013R1801,26,7,2013,7:50 PM
353,2013R1802,27,7,2013,1:45 PM
354,2013R1803,27,7,2013,2:10 PM
355,2013R1804,27,7,2013,4:40 PM
356,2013R1805,27,7,2013,5:40 PM
357,2013R1806,27,7,2013,7:40 PM
358,2013R1807,28,7,2013,12:40 PM
359,2013R1808,28,7,2013,3:20 PM
360,2013R1809,28,7,2013,4:40 PM
361,2013R1901,2,8,2013,7:50 PM
362,2013R1902,3,8,2013,1:45 PM
363,2013R1903,3,8,2013,2:10 PM
364,2013R1904,3,8,2013,2:40 PM
365,2013R1905,3,8,2013,7:40 PM
366,2013R1906,3,8,2013,7:40 PM
367,2013R1907,4,8,2013,1:10 PM
368,2013R1908,4,8,2013,2:50 PM
369,2013R1909,4,8,2013,4:40 PM
370,2013R2001,9,8,2013,7:50 PM
371,2013R2002,10,8,2013,1:45 PM
372,2013R2003,10,8,2013,2:10 PM
373,2013R2004,10,8,2013,4:40 PM
374,2013R2005,10,8,2013,7:40 PM
375,2013R2006,10,8,2013,7:40 PM
376,2013R2007,11,8,2013,1:10 PM
377,2013R2008,11,8,2013,2:50 PM
378,2013R2009,11,8,2013,2:40 PM
379,2013R2101,16,8,2013,7:50 PM
380,2013R2102,17,8,2013,1:45 PM
381,2013R2103,17,8,2013,1:40 PM
382,2013R2104,17,8,2013,4:40 PM
383,2013R2105,17,8,2013,5:40 PM
384,2013R2106,17,8,2013,7:40 PM
385,2013R2107,18,8,2013,1:10 PM
386,2013R2108,18,8,2013,3:20 PM
387,2013R2109,18,8,2013,4:40 PM
388,2013R2201,23,8,2013,7:50 PM
389,2013R2202,24,8,2013,1:15 PM
390,2013R2203,24,8,2013,2:10 PM
391,2013R2204,24,8,2013,4:40 PM
392,2013R2205,24,8,2013,5:40 PM
393,2013R2206,24,8,2013,7:40 PM
394,2013R2207,25,8,2013,1:10 PM
395,2013R2208,25,8,2013,3:20 PM
396,2013R2209,25,8,2013,4:40 PM
397,2013R2301,30,8,2013,7:50 PM
398,2013R2302,31,8,2013,1:45 PM
399,2013R2303,31,8,2013,2:10 PM
400,2013R2304,31,8,2013,4:10 PM
401,2013R2305,31,8,2013,7:40 PM
402,2013R2306,31,8,2013,6:10 PM
403,2013R2307,1,9,2013,1:10 PM
404,2013R2308,1,9,2013,3:20 PM
405,2013R2309,1,9,2013,4:40 PM
406,2013QF01,6,9,2013,7:50 PM
407,2013EF01,7,9,2013,7:45 PM
408,2013QF02,7,9,2013,2:20 PM
409,2013EF02,8,9,2013,3:20 PM
410,2013SF01,13,9,2013,7:50 PM
411,2013SF02,14,9,2013,7:45 PM
412,2013PF01,20,9,2013,7:50 PM
413,2013PF02,21,9,2013,5:45 PM
414,2013GF01,28,9,2013,2:30 PM
415,2014R0101,14,3,2014,7:50 PM
416,2014R0102,15,3,2014,4:40 PM
417,2014R0103,15,3,2014,6:55 PM
418,2014R0104,16,3,2014,7:40 PM
419,2014R0105,20,3,2014,7:10 PM
420,2014R0106,21,3,2014,7:50 PM
421,2014R0107,22,3,2014,4:40 PM
422,2014R0108,22,3,2014,7:40 PM
423,2014R0109,23,3,2014,4:40 PM
424,2014R0201,27,3,2014,7:45 PM
425,2014R0202,28,3,2014,7:50 PM
426,2014R0203,29,3,2014,1:40 PM
427,2014R0204,29,3,2014,4:15 PM
428,2014R0205,29,3,2014,4:40 PM
429,2014R0206,29,3,2014,7:40 PM
430,2014R0207,30,3,2014,12:10 PM
431,2014R0208,30,3,2014,3:20 PM
432,2014R0209,30,3,2014,4:40 PM
433,2014R0301,4,4,2014,7:50 PM
434,2014R0302,5,4,2014,1:45 PM
435,2014R0303,5,4,2014,1:40 PM
436,2014R0304,5,4,2014,3:40 PM
437,2014R0305,5,4,2014,4:40 PM
438,2014R0306,5,4,2014,7:40 PM
439,2014R0307,6,4,2014,1:10 PM
440,2014R0308,6,4,2014,4:10 PM
441,2014R0309,6,4,2014,7:10 PM
442,2014R0401,11,4,2014,7:50 PM
443,2014R0402,12,4,2014,1:45 PM
444,2014R0403,12,4,2014,1:40 PM
445,2014R0404,12,4,2014,4:40 PM
446,2014R0405,12,4,2014,7:40 PM
447,2014R0406,12,4,2014,7:40 PM
448,2014R0407,13,4,2014,1:10 PM
449,2014R0408,13,4,2014,3:20 PM
450,2014R0409,13,4,2014,2:40 PM
451,2014R0501,17,4,2014,7:50 PM
452,2014R0502,19,4,2014,1:40 PM
453,2014R0503,19,4,2014,4:40 PM
454,2014R0504,19,4,2014,5:40 PM
455,2014R0505,19,4,2014,7:40 PM
456,2014R0506,20,4,2014,12:40 PM
457,2014R0507,20,4,2014,3:20 PM
458,2014R0508,20,4,2014,4:40 PM
459,2014R0509,21,4,2014,3:20 PM
460,2014R0601,25,4,2014,2:40 PM
461,2014R0602,25,4,2014,7:45 PM
462,2014R0603,25,4,2014,6:45 PM
463,2014R0604,26,4,2014,1:40 PM
464,2014R0605,26,4,2014,4:40 PM
465,2014R0606,26,4,2014,7:40 PM
466,2014R0607,27,4,2014,1:10 PM
467,2014R0608,27,4,2014,3:20 PM
468,2014R0609,27,4,2014,4:10 PM
469,2014R0701,2,5,2014,7:50 PM
470,2014R0702,3,5,2014,1:45 PM
